smiles,identifier,P_TR,PS,rank
COC1=CC=CC(C(=O)N2CCC3=CC(OC)=C(OC)C=C3C2)=C1,CNP0316090.0,0.006802333518862724,0.005815995158627631,2469
COC1=CC=C(CC[C@H]2CCC3=CC=CC=C3N2C)C=C1O,CNP0329974.1,0.006800661329180002,0.005814565436448903,2470
CC(C)(C)C1=CN(C[C@H]2C[C@@H]3CC[N@@]2C[C@@H]3C(=O)NCC2=CC=CC=C2)N=N1,CNP0046185.1,0.006799592170864344,0.005813651306089011,2471
CC(C)C[C@@H]1N=C(O)/C(=C\C2=CC=CC3=CC=CC=C23)N=C1O,CNP0537473.1,0.006787205580621958,0.005803060771431776,2472
CC1=C(OCC(=O)NC2=CC=C3OCOC3=C2)C(=O)C=CN1,CNP0351500.0,0.006782639771699905,0.005799157004803418,2473
C[C@@H]1C2=CC3=C(C=C2CCN1CC(=O)NC1=CC=CC=C1)OCCCO3,CNP0350493.2,0.006777844857424498,0.005795057353097945,2474
COC1=CC([C@H]2C(C(C)=O)=C(C)NC3=NC=NN32)=CC=C1O,CNP0594006.1,0.006775617133826017,0.005793152649421244,2475
COC1=CC=C(C2=CC(CC3(NC(=O)CC(C)(C)C)COC3)=NO2)C=C1,CNP0003839.0,0.006759409327059984,0.005779294974636288,2476
CC(=O)NC[C@H]1CS[C@H]([C@@H]2COC(C3=CC=CC=C3O)=N2)N1C,CNP0240830.3,0.0067442068830132484,0.00576629688497633,2477
COC1=CC=CC=C1[C@@H](NC(=O)OC(C)(C)C)C(=O)O,CNP0599984.2,0.006741169840097427,0.0057637002132833026,2478
CN1C(=O)COC[C@@H]1[C@H](O)C1=CC=C(NC(=O)C2=CC=CC=C2)C=C1,CNP0003988.1,0.006710099056363106,0.005737134693190457,2479
CC(C)C1=NOC([C@@H]2C[C@@H](O)CN2C2CCN(C)CC2)=N1,CNP0454947.1,0.00670147268101573,0.005729759142268451,2480
COC1=CC=C(CN2CCOC[C@H]2C2=NC(C(C)(C)C)=CN2)C=C1,CNP0014661.1,0.006701361853629351,0.0057296643848530945,2481
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)C1=CC=CC=C1)C2,CNP0231295.6,0.006699127145111561,0.005727753709070383,2482
C[C@@H]1SC(C2=CC=CC=C2O)=N[C@@H]1[C@@H]1SC[C@@](C)(C(=O)O)N1C,CNP0196873.3,0.006682274397462606,0.00571334460983053,2483
COC1=CC=C2C(=C1OC)C(=O)N1[C@@H]2SC[C@H]1C(=O)NCC1=CC=CO1,CNP0273598.3,0.006671537645161152,0.005704164686612784,2484
CC1(C)CC(=O)C2=C(O)C=C(OCC(=O)NC3=CC=CN=C3)C=C2O1,CNP0415837.0,0.006640703417360783,0.0056778014218434696,2485
CC(C)C(=O)N1CCN(C(=O)CCCC2=CNC3=CC=CC=C23)CC1,CNP0395332.0,0.006611821241676807,0.005653107161633672,2486
CN1C=CN=C1CN1CCN2C(=O)N(C3=CC=CC=C3)C[C@H]2C1,CNP0138930.1,0.0065832133404910564,0.005628647406119853,2487
CC1=NC=CC(OC[C@@H]2CN(C(=O)NC(C)C)[C@H]3C4=CC=CC=C4OC[C@@H]23)=N1,CNP0524231.1,0.00657934183254838,0.005625337266828862,2488
C[C@@H](NC[C@@H]1COC2=CC=CC=C2O1)[C@@H]1COC2=CC=CC=C2O1,CNP0360160.4,0.00656700786203146,0.005614791722036896,2489
CN1[C@@H]2CC[C@H]1C[C@H](OC(=O)[C@H](O)C1=CC=CC=C1)C2,CNP0273721.4,0.006556911859661341,0.005606159640010447,2490
COC1=CC=CC(C(=O)NCCC2CCN(C(=O)C3=CC=CC=C3)CC2)=C1,CNP0561887.0,0.006551593076437712,0.005601612080354241,2491
COCC(=O)NC[C@H]1C[C@@H]2CCN1C[C@@H]2C1=CC(C2=CC=CC=C2)=NN1C,CNP0068058.2,0.006532703991979361,0.0055854619131423516,2492
CN1C[C@@H]2CN(C(=O)CCC3=CC=CC=C3)CCN2C(C)(C)C1,CNP0017181.1,0.006531713530421257,0.005584615068510177,2493
ClC1=CC=C(CN2CCOC[C@H](OC3=CC=CC=C3)C2)C=C1,CNP0051064.1,0.006531654857099056,0.0055845649028196925,2494
CN1C2=CC=CC=C2CC[C@@H]1CCC1=CC=C2OCOC2=C1,CNP0162047.1,0.0065181562677025795,0.005573023608885707,2495
COC1=CC(/C=C2\C(=O)NC3=CC=CC=C23)=CC2=C1OCCO2,CNP0397100.1,0.006500298622995615,0.0055577553226612494,2496
O=C1C=CC=C2[C@H]3C[C@H](CN(C[C@H](O)C4=CC=CC=C4)C3)CN21,CNP0374850.3,0.006471517961472273,0.005533147857058792,2497
